RegionID,SizeRank,RegionName,RegionType,StateName,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394425,50,Buffalo,msa,NY,1019.490047,1058.275181,1091.34378,1119.292963,1138.430826,1166.023131,1203.11769,1211.472157,1232.784787,1241.020893,1275.179877,1287.921697,1291.717675,1315.960634,1334.504265,1355.693579
394388,51,Birmingham,msa,AL,1127.525761,1137.671588,1198.808135,1219.197391,1245.070402,1264.432699,1300.98409,1300.004527,1300.186479,1331.64881,1356.686809,1362.28121,1363.722577,1383.985494,1396.114991,1425.490909
395031,52,Rochester,msa,NY,1113.44906,1147.129047,1193.723665,1208.54812,1209.604918,1278.790219,1329.067465,1308.93277,1318.948393,1344.315694,1384.496623,1392.971493,1402.143158,1433.379696,1449.854839,1452.934187
394640,53,Grand Rapids,msa,MI,1189.771104,1235.144494,1301.287066,1310.828022,1347.171201,1385.172666,1437.936353,1456.150908,1438.59112,1465.252224,1516.274066,1520.465664,1540.166468,1554.383593,1583.489788,1597.554435
395167,54,Tucson,msa,AZ,1218.081361,1272.543198,1337.377943,1421.340765,1456.470171,1492.683784,1519.316422,1526.737091,1531.777635,1548.506358,1581.35831,1584.044096,1596.216208,1599.746748,1614.714088,1626.202239
753924,55,Urban Honolulu,msa,HI,2141.48782,2213.392242,2267.14817,2337.93163,2343.598463,2411.800402,2428.06224,2435.289797,2446.389584,2496.232845,2511.163781,2532.651804,2533.441685,2581.08261,2628.036649,2653.342748
395169,56,Tulsa,msa,OK,1075.222586,1112.384202,1161.041649,1197.44744,1229.102897,1275.510142,1301.157274,1289.643651,1287.860555,1307.567933,1347.733378,1346.228007,1364.868223,1381.472751,1405.763176,1415.232599
394619,57,Fresno,msa,CA,1526.769724,1608.110142,1706.794952,1761.485848,1793.662714,1824.320157,1856.821177,1860.566338,1888.137769,1912.415674,1981.445111,1975.841362,1978.115741,2002.870357,2047.000871,2046.741364
395238,58,Worcester,msa,MA,1486.351442,1522.08876,1589.417265,1637.756306,1661.649726,1728.850828,1810.731025,1793.068353,1823.894765,1870.773847,1920.500323,1944.546423,1936.887732,2000.938718,2065.303869,2062.52437
394938,59,Omaha,msa,NE,1028.50096,1053.738122,1102.524925,1116.027281,1124.525404,1157.999364,1201.12236,1211.806544,1227.240016,1255.059008,1282.000107,1285.784334,1285.398071,1306.287397,1338.062322,1340.799103
394415,60,Bridgeport,msa,CT,2112.362605,2170.963465,2282.651941,2301.224265,2320.543513,2410.01976,2526.705063,2508.94881,2484.080671,2543.885134,2608.241203,2609.176832,2629.57916,2688.178378,2769.267732,2777.04068
394653,61,Greenville,msa,SC,1207.21625,1243.127979,1313.185516,1346.893816,1365.829714,1406.482707,1478.897334,1477.895599,1470.70214,1498.456462,1516.192721,1528.335597,1541.39729,1548.772954,1584.098692,1578.974305
394312,62,Albuquerque,msa,NM,1106.595655,1155.131166,1233.243442,1290.089294,1299.683612,1342.049064,1408.879819,1422.129376,1428.727323,1440.206434,1473.317474,1485.993506,1493.137265,1507.576295,1526.459098,1534.575993
394357,63,Bakersfield,msa,CA,1307.526622,1325.799786,1389.435029,1456.13709,1519.608997,1577.057348,1627.136206,1630.849246,1618.357647,1658.045273,1680.717406,1702.774284,1701.323231,1737.383859,1764.17569,1767.178602
394308,64,Albany,msa,NY,1249.124506,1283.485966,1320.244827,1331.447537,1362.20812,1399.680437,1451.799289,1460.970165,1445.859006,1467.838459,1514.054211,1509.103937,1516.62777,1550.655749,1585.878494,1582.51759
394753,65,Knoxville,msa,TN,1205.691919,1248.428603,1357.454658,1430.256642,1444.007607,1528.259548,1614.804967,1630.414212,1631.762644,1665.579388,1719.757,1755.651532,1754.454627,1762.475117,1781.592735,1816.319853
394367,66,Baton Rouge,msa,LA,1147.744561,1169.886557,1204.302205,1253.026694,1263.871296,1290.712929,1323.586162,1307.262546,1288.375527,1300.324692,1326.529705,1321.670171,1337.577756,1326.477551,1364.122859,1364.824182
394843,67,McAllen,msa,TX,942.4326319,967.231598,1000.042852,1022.812657,1043.180137,1069.182221,1091.074493,1093.14929,1100.302574,1126.777194,1130.466149,1130.58193,1139.297213,1144.754472,1155.612766,1142.100262
